title,release_year,genres,imdb_score
Maya Memsaab,1993,"['romance', 'drama', 'thriller']",5.4
Out of Life,1991,"['war', 'drama', 'crime', 'european']",6.9
Duplicate,1998,"['comedy', 'action', 'crime', 'thriller']",5.5
Govindha Govindha,1993,"['drama', 'action', 'crime']",6.6
Damini,1993,"['drama', 'crime']",7.8
English Babu Desi Mem,1996,"['romance', 'comedy', 'drama']",4.5
Before the Flying Circus,2000,"['comedy', 'documentation']",7.3
Sam Kinison: Live in Vegas,1991,"['comedy', 'music', 'documentation']",6.6
Anjaam,1994,"['thriller', 'romance', 'drama']",6.6
Mann,1999,"['drama', 'romance']",6.1
Monty Python: Live at Aspen,1998,"['comedy', 'documentation']",7.8
Sinbad: Afros and Bellbottoms,1993,"['comedy', 'documentation']",7.8
The Other,1999,"['drama', 'european', 'romance']",5.9
Sinbad: Son of a Preacher Man,1996,"['comedy', 'documentation']",6.7
Children of Shatila,1999,"['documentation', 'history']",8.2
Gumrah,1993,"['action', 'crime', 'drama', 'thriller']",6.1
The Emigrant,1994,['drama'],6.5
Yodha,1991,"['drama', 'action']",4.5
Avvai Shanmugi,1996,"['drama', 'comedy']",7.9
Minsara Kanavu,1997,"['comedy', 'drama', 'romance']",6.7
Chronicle of a Disappearance,1996,['drama'],6.9
Yaar Gaddar,1994,"['crime', 'action', 'drama']",3.6
Sinbad: Nothin' but the Funk,1998,"['comedy', 'documentation']",6.2
Dushmani,1995,"['romance', 'action', 'drama']",5.0
Fiza,2000,"['drama', 'romance', 'action', 'crime']",6.0
Hello Brother,1999,"['romance', 'action', 'comedy', 'fantasy']",4.6
Have You Ever Seen Fireflies? - Theatre Play,1999,"['drama', 'comedy']",
Shikari,1991,"['drama', 'action']",5.9
One Last Shot,1998,[],
Breaking Bad,2008,"['drama', 'thriller', 'crime']",9.5
The Walking Dead,2010,"['action', 'drama', 'scifi', 'thriller', 'horror']",8.2
The Staircase,2004,"['crime', 'documentation', 'drama']",7.8
Downton Abbey,2010,"['drama', 'romance', 'european']",8.7
Grey's Anatomy,2005,"['drama', 'romance']",7.6
The Great British Baking Show,2010,"['reality', 'european']",8.6
Criminal Minds,2005,"['thriller', 'crime', 'drama']",8.1
NCIS,2003,"['action', 'drama', 'crime', 'thriller', 'comedy']",7.8
Community,2009,['comedy'],8.5
Heartland,2007,"['drama', 'family']",8.4
Supernatural,2005,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",8.5
Forgetting Sarah Marshall,2008,"['comedy', 'drama', 'romance']",7.1
War of the Worlds,2005,"['thriller', 'action', 'scifi']",6.5
Arrested Development,2003,['comedy'],8.7
The IT Crowd,2006,"['comedy', 'european']",8.5
30 Rock,2006,"['comedy', 'sport']",8.3
Avatar: The Last Airbender,2005,"['scifi', 'family', 'fantasy', 'animation', 'action']",9.3
Inception,2010,"['scifi', 'music', 'thriller', 'action']",8.8
The Other Guys,2010,"['crime', 'action', 'comedy']",6.6
How to Train Your Dragon,2010,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']",8.1
Friday Night Lights,2006,"['drama', 'sport']",8.7
Casino Royale,2006,"['thriller', 'action', 'european']",8.0
Michael Clayton,2007,"['thriller', 'crime', 'drama']",7.2
My Little Pony: Friendship Is Magic,2010,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']",7.6
The Fairly OddParents,2001,"['scifi', 'family', 'fantasy', 'animation', 'comedy']",7.2
Jackass: The Movie,2002,"['action', 'comedy', 'documentation']",6.6
Sonic X,2003,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",6.1
DEATH NOTE,2006,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",9.0
Zoolander,2001,"['comedy', 'european']",6.5
The Vampire Diaries,2009,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",7.7
Charlie and the Chocolate Factory,2005,"['fantasy', 'comedy', 'family']",6.6
Cleaner,2007,"['thriller', 'crime']",6.1
Harold & Kumar Go to White Castle,2004,['comedy'],7.0
The Social Network,2010,['drama'],7.8
Road to Perdition,2002,"['thriller', 'documentation', 'crime', 'drama']",7.7
Naruto,2002,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",8.4
Blow,2001,"['drama', 'crime']",7.5
Shooter,2007,"['thriller', 'action', 'drama']",7.2
Big Fish,2003,"['drama', 'fantasy', 'romance']",8.0
The Bourne Ultimatum,2007,"['thriller', 'action']",8.0
Public Enemies,2009,"['crime', 'drama', 'history', 'action', 'european']",7.0
America's Next Top Model,2003,['reality'],5.6
Sherlock Holmes,2009,"['crime', 'action', 'thriller']",7.6
Love Actually,2003,"['drama', 'comedy', 'romance']",7.6
Closer,2004,"['drama', 'romance']",7.2
Chappelle's Show,2003,"['comedy', 'music']",8.8
Something's Gotta Give,2003,"['romance', 'drama', 'comedy']",6.7
Grown Ups,2010,"['comedy', 'drama', 'european']",5.9
The Blind Side,2009,"['drama', 'sport']",7.6
Quantum of Solace,2008,"['thriller', 'action']",6.6
The Ring,2002,"['horror', 'european']",7.1
Trailer Park Boys,2001,"['comedy', 'crime']",8.6
Into the Wild,2007,['drama'],8.1
True Grit,2010,"['western', 'drama']",7.6
Blade Runner: The Final Cut,2007,"['action', 'thriller', 'scifi']",
Rambo,2008,"['thriller', 'action', 'war', 'european']",7.0
Stardust,2007,"['fantasy', 'romance', 'family']",7.6
Borgen,2010,"['drama', 'european']",8.5
The Last Samurai,2003,"['drama', 'history', 'war', 'action']",7.8
iCarly,2007,"['comedy', 'family', 'romance']",6.7
Victorious,2010,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",6.9
The Book of Eli,2010,"['thriller', 'action', 'drama', 'european']",6.8
Identity,2003,['thriller'],7.3
Merlin,2008,"['action', 'scifi', 'drama', 'fantasy', 'european']",7.9
Apocalypse Now Redux,2001,"['drama', 'war', 'thriller', 'horror']",
Shrek Forever After,2010,"['fantasy', 'comedy', 'family', 'romance', 'animation']",6.3
Hairspray,2007,"['comedy', 'drama', 'romance']",6.7
Corpse Bride,2005,"['fantasy', 'romance', 'animation', 'drama', 'family']",7.3
Let Me In,2010,"['horror', 'drama', 'fantasy', 'thriller', 'european']",7.1
Monster,2003,"['crime', 'drama', 'thriller', 'european']",7.3
Without a Paddle,2004,"['thriller', 'comedy']",5.8
Once Upon a Time in Mexico,2003,"['drama', 'action', 'crime', 'thriller']",6.3
Cloudy with a Chance of Meatballs,2009,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']",6.9
Offspring,2010,"['drama', 'comedy']",8.3
Blade II,2002,"['thriller', 'fantasy', 'scifi', 'action', 'horror']",6.7
Chloe,2009,"['thriller', 'drama', 'romance', 'european']",6.3
Blood Diamond,2006,"['thriller', 'drama']",8.0
The Lake House,2006,"['drama', 'fantasy', 'romance', 'documentation']",6.8
Terminator 3: Rise of the Machines,2003,"['thriller', 'scifi', 'action', 'european']",6.3
Beerfest,2006,['comedy'],6.2
Heist,2001,"['thriller', 'drama', 'action', 'crime', 'european']",6.5
Catch and Release,2006,"['romance', 'comedy', 'drama']",5.9
Just Like Heaven,2005,"['drama', 'romance', 'fantasy', 'comedy']",6.7
Gurren Lagann,2007,"['scifi', 'action', 'comedy', 'drama', 'animation']",8.3
Four Brothers,2005,"['crime', 'action', 'drama', 'thriller']",6.8
John Q,2002,"['drama', 'thriller', 'crime']",7.0
Not Another Teen Movie,2001,['comedy'],5.7
21,2008,"['drama', 'crime', 'history', 'thriller']",6.8
Code Geass: Lelouch of the Rebellion,2006,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",8.7
Terminator Salvation,2009,"['thriller', 'scifi', 'fantasy', 'war', 'action']",6.5
Deck the Halls,2006,"['comedy', 'family']",5.0
The Girl Next Door,2007,"['thriller', 'drama', 'crime', 'horror']",6.5
The Cat in the Hat,2003,"['fantasy', 'comedy', 'family']",4.0
Jackass 2.5,2007,"['documentation', 'comedy']",
Final Destination 3,2006,"['horror', 'thriller', 'action', 'crime', 'fantasy', 'european']",5.8
Thir13en Ghosts,2001,"['thriller', 'horror', 'fantasy']",5.6
The One,2001,"['scifi', 'thriller', 'action']",5.9
Happy Feet,2006,"['comedy', 'fantasy', 'animation', 'family', 'music', 'romance']",6.4
Ip Man,2008,"['drama', 'fantasy', 'action', 'history']",8.0
Coach Carter,2005,"['drama', 'sport', 'european']",7.3
Blade: Trinity,2004,"['action', 'thriller', 'fantasy', 'horror', 'scifi']",5.8
Monster-in-Law,2005,"['romance', 'comedy']",5.5
Halloween,2007,['horror'],6.0
How Do You Know,2010,"['drama', 'comedy', 'romance']",5.4
The Sweetest Thing,2002,"['comedy', 'romance']",5.1
The Final Destination,2009,"['horror', 'fantasy', 'scifi', 'action', 'thriller']",5.1
The Other Boleyn Girl,2008,"['romance', 'drama', 'history']",6.7
Friday the 13th,2009,"['horror', 'thriller']",5.5
The Bucket List,2007,"['drama', 'comedy', 'european']",7.4
Freddy vs. Jason,2003,"['horror', 'action']",5.7
Transformers: Prime,2010,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",7.9
Memoirs of a Geisha,2005,"['drama', 'romance', 'european']",7.3
A Nightmare on Elm Street,2010,"['horror', 'thriller', 'crime', 'drama']",5.2
Body of Lies,2008,"['drama', 'action', 'thriller']",7.1
A Cinderella Story,2004,"['romance', 'comedy', 'family']",5.9
The Mole,2001,['reality'],7.6
Osmosis Jones,2001,"['animation', 'action', 'comedy', 'crime', 'family', 'fantasy', 'scifi']",6.3
Scary Movie 4,2006,"['comedy', 'horror']",5.1
The Texas Chainsaw Massacre,2003,"['horror', 'crime']",6.2
Fun with Dick and Jane,2005,"['comedy', 'crime']",6.1
TMNT,2007,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'action']",6.2
Due Date,2010,"['drama', 'comedy']",6.5
Cop Out,2010,"['comedy', 'thriller', 'action', 'crime']",5.5
The 4400,2004,"['scifi', 'thriller', 'drama']",7.3
Still Game,2002,"['comedy', 'european']",8.9
3 Idiots,2009,"['comedy', 'drama']",8.4
Midnight Diner,2009,"['drama', 'comedy']",8.6
H2O: Just Add Water,2006,"['drama', 'scifi', 'fantasy', 'family']",7.2
Black Butler,2008,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",8.3
Octonauts,2010,"['action', 'animation', 'comedy', 'family']",7.6
New York Minute,2004,"['comedy', 'crime', 'family', 'romance']",4.8
Strawberry Shortcake,2003,"['animation', 'family']",7.0
Total Drama Island,2007,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']",7.4
Dreamer: Inspired By a True Story,2005,"['drama', 'family', 'sport', 'fantasy']",6.8
Monster House,2006,"['fantasy', 'animation', 'comedy', 'family']",6.6
Starsky & Hutch,2004,"['comedy', 'crime']",6.1
Tears of the Sun,2003,"['drama', 'thriller', 'war', 'action']",6.6
Boys Over Flowers,2009,"['comedy', 'drama', 'romance']",7.9
Winx Club,2004,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",6.2
The Cave,2005,"['horror', 'thriller', 'scifi', 'action', 'european']",5.1
Big Time Rush,2009,"['comedy', 'family']",6.3
The Texas Chainsaw Massacre: The Beginning,2006,"['horror', 'thriller', 'documentation']",5.8
I Am Sam,2001,['drama'],7.6
The Spiderwick Chronicles,2008,"['fantasy', 'thriller', 'action', 'drama', 'family']",6.5
Rumor Has It...,2005,"['comedy', 'drama', 'romance']",5.5
Dead Set,2008,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",7.6
Toradora!,2008,"['animation', 'romance', 'comedy', 'drama']",8.0
I Now Pronounce You Chuck & Larry,2007,"['comedy', 'romance']",5.9
Metallica: Some Kind of Monster,2004,['western'],
World Trade Center,2006,"['thriller', 'history', 'drama']",6.0
Premonition,2007,"['thriller', 'drama', 'fantasy']",5.9
Shaun the Sheep,2007,"['animation', 'comedy', 'family', 'european']",8.0
Eagle Eye,2008,"['thriller', 'action', 'european']",6.6
The Contractor,2007,"['thriller', 'european']",
Lagaan: Once Upon a Time in India,2001,"['drama', 'romance', 'sport']",8.1
The Men Who Stare at Goats,2009,"['comedy', 'war']",6.2
Scare Tactics,2003,"['comedy', 'horror', 'reality', 'scifi', 'thriller']",6.7
Friends with Money,2006,"['romance', 'comedy', 'drama']",5.8
Legend of the Guardians: The Owls of Ga'Hoole,2010,"['fantasy', 'family', 'action', 'war', 'drama', 'thriller', 'animation']",6.9
Kath & Kim,2002,['comedy'],8.3
Good Luck Chuck,2007,"['comedy', 'romance']",5.6
Pocoyo,2005,"['animation', 'family', 'comedy', 'european']",3.9
Louis C.K.: Hilarious,2010,['comedy'],8.4
Death at a Funeral,2010,['comedy'],5.6
Gifted Hands: The Ben Carson Story,2009,['drama'],7.6
The Game,2006,"['comedy', 'drama', 'sport', 'romance']",6.6
No Direction Home: Bob Dylan,2005,"['music', 'documentation']",
Angel Beats!,2010,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",7.7
Blood and Bone,2009,"['thriller', 'action', 'crime', 'drama', 'sport']",6.7
Ip Man 2,2010,"['drama', 'history', 'sport', 'action']",7.5
Masha and the Bear,2009,"['comedy', 'family', 'action', 'animation']",7.6
Like Stars on Earth,2007,"['drama', 'family']",8.3
Monty Python: Almost the Truth (The Lawyer's Cut),2009,"['comedy', 'documentation']",8.1
The Legend of Bruce Lee,2008,"['action', 'drama']",7.0
Ouran High School Host Club,2006,"['comedy', 'drama', 'animation', 'romance']",8.2
Felon,2008,"['crime', 'thriller', 'drama', 'action']",7.4
The Ultimatum,2009,['drama'],5.4
Mobile Suit Gundam Unicorn,2010,"['action', 'drama', 'scifi', 'war', 'animation']",7.8
Stuart Little 2,2002,"['comedy', 'fantasy', 'animation', 'family']",5.5
Johnny Test,2005,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']",5.1
Code Lyoko,2003,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']",7.3
Did You Hear About the Morgans?,2009,"['comedy', 'romance', 'drama']",4.9
Iris,2009,"['action', 'comedy', 'reality', 'romance', 'thriller']",7.8
